"game_id","home_team","away_team","game_date","kalshi_prob_home","kalshi_prob_away","home_score","away_score","home_win",".prob",".y",".prob_clipped","brier","logloss"
"080d0b9da8881cde793f5251b94c2e2b","New York Knicks","Indiana Pacers",2025-05-23,0.58,0.42,109,114,0,0.58,0,0.58,0.3364,0.867500567704723
"084b0e20e0e0c30eb2ab6c9b6bcc55f0","Philadelphia 76ers","Toronto Raptors",2025-11-08,0.7,0.3,130,120,1,0.7,1,0.7,0.09,0.356674943938732
"088f5bc93c60e40ff3b46827e155d74a","Memphis Grizzlies","Sacramento Kings",2025-11-20,0.73,0.27,137,96,1,0.73,1,0.73,0.0729,0.3147107448397
"08e29200254c376c5f4af4a9b18b9d24","Boston Celtics","Utah Jazz",2025-11-03,0.88,0.12,103,105,0,0.88,0,0.88,0.7744,2.12026353620009
"09e34bcf1234210ced1646210034cedb","Washington Wizards","Cleveland Cavaliers",2025-11-07,0.11,0.89,115,148,0,0.11,0,0.11,0.0121,0.116533816255952
"0a353943755e93979775f392eb64d80a","Denver Nuggets","Chicago Bulls",2025-11-17,0.88,0.12,127,130,0,0.88,0,0.88,0.7744,2.12026353620009
"0b32acf2f68ab3bad325d5b490d774b1","Houston Rockets","Orlando Magic",2025-11-16,0.56,0.44,117,113,1,0.56,1,0.56,0.1936,0.579818495252942
"0bba63ebea7fd06ccc1a76376361195c","Dallas Mavericks","New York Knicks",2025-11-19,0.23,0.77,111,113,0,0.23,0,0.23,0.0529,0.261364764134408
"0bc467cf6cb245debf4950400bc8512e","Boston Celtics","Orlando Magic",2025-04-20,0.88,0.12,103,86,1,0.88,1,0.88,0.0144,0.127833371509885
"0e5d47b1a4c507af55eafadbd01f0e9d","Atlanta Hawks","Detroit Pistons",2025-11-18,0.34,0.66,112,120,0,0.34,0,0.34,0.1156,0.415515443961666
"0f7d4c705cff031299459d2240144e76","Los Angeles Clippers","Denver Nuggets",2025-11-12,0.35,0.65,116,130,0,0.35,0,0.35,0.1225,0.430782916092454
"0fdd095e3e0689aede516def5ccb891f","New Orleans Pelicans","Atlanta Hawks",2025-11-22,0.31,0.69,98,115,0,0.31,0,0.31,0.0961,0.371063681390832
"10d6902a9faa1843f88a61c425f51660","Cleveland Cavaliers","Miami Heat",2025-04-20,0.8,0.2,121,100,1,0.8,1,0.8,0.04,0.22314355131421
"11866bc183bdd5a8a7f11a6686e4007a","Sacramento Kings","Oklahoma City Thunder",2025-11-07,0.15,0.85,101,132,0,0.15,0,0.15,0.0225,0.162518929497775
"12aebc1081f4713b9ad2705d5364df58","Orlando Magic","Golden State Warriors",2025-11-18,0.4,0.6,121,113,1,0.4,1,0.4,0.36,0.916290731874155
"12b46f184c1fdead46e57fbcea9406ad","Orlando Magic","Atlanta Hawks",2025-04-15,0.72,0.28,120,95,1,0.72,1,0.72,0.0784,0.328504066972036
"12dc44254241ed056efce1e548888c26","Atlanta Hawks","Miami Heat",2025-04-18,0.33,0.67,114,123,0,0.33,0,0.33,0.1089,0.400477566597125
"13917a414157bda81dd6b417d440e1a6","Boston Celtics","Philadelphia 76ers",2025-10-22,0.66,0.34,116,117,0,0.66,0,0.66,0.4356,1.07880966137193
